experience_id,experience_name,city,combined_id,sub_category_id,status
15610,First-Entry Acropolis Tour with Ancient Agora & Plaka Walk,Athens,1878,1010,available
16539,Whitsundays Ocean Rafting 1-Hour Scenic Flight Tickets,Whitsundays,,1066,available
1898,Iconic Helicopter Tour - 12 Minutes,Dubai,,1057,available
14891,Entrance Tickets to Moco Museum - Banksy Exhibition and More,Amsterdam,1928,1002,available
16276,Berlin: Welt Balloon Tickets,Berlin,,1058,available
15982,Genting Awana SkyWay Tickets,Kuala Lumpur,,1035,available
17268,Penang Tropical Fruits and Audi Dream Farm Tour,Penang,,1033,available
9753,Guided Tour Of St. Mark's Basilica with Gondola Ride,Venice,1128,1010,available
14436,Rome E-Bike Rental & Trevi Fountain Underground Guided Tour,Rome,,1014,available
11440,Magic Mike Live,London,167,1036,available
15031,Get a Taste of Athens Food Tour,Athens,,1026,available
10277,Qasr Al Watan - Skip the Line Tickets,Dubai,1685,1007,available
17448,Key West Sails to Rails Museum,Key West,,1002,available
5615,"90-Minute Speedboat Tour: Marina, Atlantis, Palm & Burj Al Arab",Dubai,,1067,available
15134,Saver Combo: This is Holland Tickets & Amsterdam Canal Cruise,Amsterdam,3573,1080,available
16131,Al Ain Zoo Tickets,Abu Dhabi,,1003,available
10009,Dubai NOL Metro Card + SIM Card,Dubai,,1023,available
16244,Doge's Palace Self Guided Audio Tour,Venice,,1010,available
8886,Frozen,London,167,1036,available
16109,Rodgers & Hammerstein’s South Pacific,London,167,1036,available
12746,"2-Day Geopark Granada: Desert, Ancient Culture & Food Tour with Transfers",Granada,,1033,available
15192,Paradise Snorkel Reef and MUSA Cancún Tickets,Cancun,,1062,available
16133,Portaluppi Studio-Museum: Entry Ticket and Guided Tour,Milan,,1002,available
10576,"Premium Red Dunes Safari, Sandboarding, BBQ + Entertainment",Dubai,262,1073,available
13591,Crazy Rich Asians Instagram Tour with Black and White Colonial Bungalow (2-Hour),Singapore,,1010,available
15912,Brooklyn Bridge Bike Rentals,New York,,1014,available
17181,Best Food Travel Spots in Testaccio Rome with Audio Walking Tour ,Rome,,1026,available
16916,Panoramapunkt Berlin Tickets,Berlin,,1007,available
15181,Dion and Mount Olympus Day Tour From Thessaloniki,Thessaloniki,3278,1033,available
17503,Jack and the Beanstalk (Lyric Hammersmith),London,167,1096,available
8841,Ciampino Airport: Shuttle Bus to/from Roma Termini,Rome,,1019,available
16594,Sunrise Balloon Flight Over Melbourne,Melbourne,,1058,available
15094,Splashtours Amsterdam: Bus Tour and Canal Cruise,Amsterdam,,1011,available
15188,"Paxos, Antipaxos & Blue Caves Cruise From Corfu",Corfu,3249,1060,available
14816,Royal Palace of Turin: Skip The Line Guided Tour,Turin,2606,1010,available
10638,Alpujarras Day Trip from Granada,Granada,,1032,available
13558,Nikki Beach Resort & Spa Dubai,Dubai,,1074,available
16812,Wet World Water Park Shah Alam,Kuala Lumpur,,1005,available
13124,Picasso`s Birthplace Museum: Skip the Line Tickets,Malaga,2564,1002,available
14852,Round-Trip Tickets To Jungfraujoch From Interlaken East,Interlaken,2846,1010,available
8916,Prague: 1-Hour River Cruise with Multimedia Guide,Prague,,1061,available
8002,Entrance Ticket to The Orangerie Museum,Paris,2629,1007,available
13458,Guided Tour of Elbphilharmonie & St. Pauli,Hamburg,1445,1010,available
14929,Central Florida Zoo & Botanical Gardens: Skip The Line Tickets,Sanford,3214,1003,available
12398,Guided Tour of Mexico City and the National Museum of Anthropology,Mexico City,2048,1010,available
15515,The Rattler Steam Train,Brisbane,,1035,available
14857,Royal Museums Greenwich Day Pass,London,3183,1002,available
13390,Statue of Liberty and Ellis Island Sunset Cruise,New York,121,1060,available
2860,Windsor Castle Half Day Tour from London,London,1515,1032,available
13453,Lisboa`s Oceanario Ticket,Lisbon,,1003,available
7608,Combo Tour: Accademia Gallery with Florence City Tour,Florence,534,1010,available
10675,Stonehenge and Bath Tour from London,London,212,1032,available
15989,The Treasures of Rome Tour,Rome,,1010,available
6988,Lunch at Le Bistro Parisien Restaurant with Optional Seine River Cruise,Paris,261,1025,available
14139,Palacio de las Dueñas - Tickets with Audio Guide,Seville,2876,1007,available
16138,Athens Self Guided Audio Tour,Athens,,1009,available
15503,The Unseen Pedrera Guided Tour,Barcelona,1308,1002,available
17338,Monster,London,167,1037,available
12628,Cabo San Lucas: Whale Watching & Gray Whale Sanctuary Tour with Transfers,Cabo San Lucas,2470,1060,available
15918,Golden Gate Bridge to Sausalito Guided Bike Tour,San Francisco,,1014,available
8939,Prague Pub Crawl,Prague,,1030,available
11799,Australian National Maritime Museum Sydney Tickets,Sydney,2117,1002,available
16195,Westminster Abbey Self Guided Audio Tour (No Entrance Ticket),London,,1010,available
13777,Combo Ticket: Hungerburgbahn Funicular Round-Trip & Alpine Zoo,Innsbruck,2731,1003,available
11020,Jebel Jais Sky Tour,Dubai,,1052,available
13323,Bicester Village Shopping By Rail,London,2593,1032,available
11912,"Hydra, Poros & Aegina Full-Day Cruise with Lunch",Athens,,1060,available
16428,Colosseum Self-Guided Audio Tour,Rome,,1010,available
11574,Mount Batur Sunrise Trek with Breakfast and visit to Natural Hot Spring,Bali,1759,1071,available
12757,Cozumel: Dolphin Encounter with Buffet Meal & Chankanaab Park Ticket,Cancun,2483,1034,available
12306,James Bond Walking Tour,London,2008,,available
15947,Papal Audience Tickets,Rome,,1006,available
16136,Amsterdam: Self-Guided Audio Tour,Amsterdam,,1012,available
10964,Amalfi Coast Boat-Hopping Excursion from Rome,Rome,185,,available
16802,Combo: Museum of the Future + Dubai Garden Glow Tickets,Dubai,3700,1080,available
12464,Xochimilco & Coyoacán with Frida Kahlo Museum Full Day Guided Tour,Mexico City,2071,1010,available
16917,Just ticket - Brunelleschi's Dome,Florence,,1007,available
16179,24-Hour Berlin Hop-On Hop-Off Ticket,Berlin,,1011,available
13331,Enchanted Madrid Walking Tour,Madrid,,1009,available
14448,The Aquarium of Western Australia (AQWA) Tickets,Perth,2973,1003,available
16477,Krakow: Sightseeing Cruise on the Vistula River by Catamaran,Krakow,,1061,available
16974,Jungfraujoch - Top of Europe departing from Lucerne,Lucerne,,1035,available
517,Phantom of the Opera,New York,24,1036,available
14544,"Puy du Fou España: Day Show Entrance + ""El Sueño de Toledo"" Night Show",Madrid,3008,1004,available
16686,"Golden Horn, Brac, and Hvar Full-Day Boat Tour",Split,,1034,available
3492,Warner Bros. Studio Tour London: Return Transfers in Air-Conditioned Coach,London,229,1009,available
14804,Egyptian Museum & Royal Palace Guided Tour,Turin,,1010,available
10047,Alhambra Skip-the-Line Guided Tour with Alcazaba & Generalife,Granada,1449,1010,available
8937,Bergamo Half Day Tour from Milan,Milan,,1010,available
10208,Special Access Tour (< 25 Guests) of Colosseum Underground with Roman Forum & Palatine Hill,Rome,220,1007,available
15064,Santorini Day Trip With Wine Museum And Sunset In Oia,Santorini,,1012,available
7365,Wings of Time,Singapore,1496,1007,available
14853,Round-Trip Tickets To Jungfraujoch From Grindelwald,Interlaken,2846,1010,available
15576,Vienna Supreme Concerts - Palais Eschenbach,Vienna,,1040,available
16390,Walking Tour of Rome's Jewish Ghetto,Rome,,1009,available
2753,Orlando: Explorer City Pass,Orlando,1322,1008,available
15920,Quad Bike Tour - Farm Forest Ride,Auckland,,1056,available
12382,Vienna City Card: Discounts + Public Transport,Vienna,,1008,available
14593,3-Hour Cruise of Riviera Region: Lausanne – Lavaux – Chillon Castle,Geneva,3043,1060,available
7359,Sentosa FUN Pass,Singapore,,1008,available
17560,Good,London,167,1037,available
15796,King River Gorge Raft and Steam Experience Tickets,Hobart,,1066,available
13636,Copenhagen Walking Tour with Christiansborg Palace,Copenhagen,2693,1009,available
15913,Brooklyn Bridge Walking Tour,New York,,1009,available
16600,Vienna Supreme Concerts - Palais Niederösterreich,Vienna,,1040,available
16415,SuperPark Singapore Tickets,Singapore,,1004,available
7385,Sentosa 4D Adventureland Admission Tickets,Singapore,337,1001,available
11354,Madrid City Tour: 1 or 2 Day Hop-On-Hop-Off Sightseeing Bus,Madrid,,1011,available
15499,Cape Naturaliste Lighthouse Fully Guided Tower Tour,Perth,,1010,available
16357,Fuerteventura: Oasis Wildlife Camel Experience,Fuerteventura,2824,1090,available
16605,Etisalat 5G/4G Tourist SIM Card for UAE - Abu Dhabi Airport Pick-Up,Abu Dhabi,,1023,available
11608,Airplane Tour of Antelope Canyon & Horseshoe Bend,Las Vegas,3594,1057,available
12224,Bernina Express and St Moritz Full Day Tour,Milan,,1032,available
2312,Emirates Park Zoo Tickets,Dubai,,1003,available
16435,"Berlin Hop-On, Hop-Off Bus Tour With Stromma",Berlin,,1011,available
12779,Skip the Line: Villa Cavrois Ticket,Croix,2530,,available
1934,The Yellow Boats: 75 Minutes Atlantis Boat Tour,Dubai,,1067,available
15589,Milford Sound Tour: Fly | Explore | Fly,Queenstown,,1035,available
16038,City Tour with Half-Day Tour to Wine Country: Sonoma Valley,San Francisco,,1011,available
14252,"Platinum Desert Safari, Wildlife Tour, 6-Course Dinner with Exclusive Cabana in a Desert Oasis",Dubai,262,1073,available
8922,The Milan Pass,Milan,,1008,available
15419,"St. Peter's Basilica, Popes Tombs and Dome",Rome,592,1006,available
16899,Notre Dame Outdoor Walking Tour with Crypt Entry,Paris,,1009,available
16683,Santorini Gems Cruise Tickets,Santorini,3200,1061,available
15784,Florence Guided Walking Tour,Florence,,1009,available
9911,"After-Hours Access: Colosseum, Arena Floor & Roman Forum",Rome,220,1010,available
1933,The Yellow Boats: 99 Minute Premium Marina Boat Tour,Dubai,,1067,available
16344,Mexico City at Night Tour with optional access to Torre Latino,Mexico City,,1009,available
13617,Changi Experience Studio Tickets,Singapore,2695,1002,available
17446,Old Town Trolley Tour,San Diego,,1011,available
14197,Grigore Antipa National Museum of Natural History Tickets,Bucharest,2899,,available
14049,Jervis Bay Dolphin Watch Cruise Sydney,Sydney,,1060,available
9990,Eiffel Tower 2nd Floor Guided Tour with Optional Seine River Cruise,Paris,243,1010,available
16540,Villa Borghese Gardens Bike Tour,Rome,572,1014,available
16744,Prague Cycle Boat Tour with Unlimited Drinks,Prague,,1014,available
17085,Fashion Freak Show,London,167,1036,available
10217,Cutty Sark Entrance Tickets,London,3529,1007,available
15240,Macaron-Making Lesson: Family Version,Paris,,1027,available
17158,Evening eco-cruise with a glass of Prosecco,Prague,,1095,available
15170,Meteora Tour from Kalabaka’s Train Station,Athens,3285,1032,available
15132,Parliament District German Guided Tour with The Reichstag,Berlin,1782,1010,available
12476,Guided Tour of Mexico City,Mexico City,,1012,available
14844,"Etna, Acireale & Acitrezza Jeep Tour",Catania,3179,1010,available
14910,FlowRider in Cancun,Cancun,3603,1005,available
